document_id,title,document_type,therapeutic_area_id,product_id,indication_id,study_id,publication_date,effective_date,expiration_date,approval_status,region,source_type,citation_label,file_path,synthetic_flag
DOC-ST301-CSR,AURORA-301 Clinical Study Summary,STUDY_SUMMARY,TA-IMM,PRD-001,IND-001,ST-301,2024-06-15,2024-06-15,,APPROVED,GLOBAL,SYNTHETIC_INTERNAL,AURORA-301 Clinical Study Summary,data/documents/study_summaries/aurora_301_csr.md,true
DOC-ST301-PUB,AURORA-301 Publication Abstract,PUBLICATION_ABSTRACT,TA-IMM,PRD-001,IND-001,ST-301,2024-06-15,2024-06-15,,APPROVED,GLOBAL,SYNTHETIC_PUBLICATION,AURORA-301 Publication Abstract,data/documents/publications/aurora_301_publication.md,true
DOC-ST302-CSR,AURORA-302 Clinical Study Summary,STUDY_SUMMARY,TA-IMM,PRD-001,IND-001,ST-302,2024-09-20,2024-09-20,,APPROVED,GLOBAL,SYNTHETIC_INTERNAL,AURORA-302 Clinical Study Summary,data/documents/study_summaries/aurora_302_csr.md,true
DOC-ST302-PUB,AURORA-302 Publication Abstract,PUBLICATION_ABSTRACT,TA-IMM,PRD-001,IND-001,ST-302,2024-09-20,2024-09-20,,APPROVED,GLOBAL,SYNTHETIC_PUBLICATION,AURORA-302 Publication Abstract,data/documents/publications/aurora_302_publication.md,true
DOC-ST303-CSR,AURORA-303 Clinical Study Summary,STUDY_SUMMARY,TA-IMM,PRD-001,IND-001,ST-303,2025-05-10,2025-05-10,,APPROVED,GLOBAL,SYNTHETIC_INTERNAL,AURORA-303 Clinical Study Summary,data/documents/study_summaries/aurora_303_csr.md,true
DOC-ST303-PUB,AURORA-303 Publication Abstract,PUBLICATION_ABSTRACT,TA-IMM,PRD-001,IND-001,ST-303,2025-05-10,2025-05-10,,APPROVED,GLOBAL,SYNTHETIC_PUBLICATION,AURORA-303 Publication Abstract,data/documents/publications/aurora_303_publication.md,true
DOC-ST210-CSR,AURORA-210 Clinical Study Summary,STUDY_SUMMARY,TA-IMM,PRD-001,IND-002,ST-210,2025-07-01,2025-07-01,,APPROVED,GLOBAL,SYNTHETIC_INTERNAL,AURORA-210 Clinical Study Summary,data/documents/study_summaries/aurora_210_csr.md,true
DOC-AUR-PI,Aurelimab Demonstration Product Information,PRESCRIBING_INFORMATION_DEMO,TA-IMM,PRD-001,,,2025-08-01,2025-08-01,,APPROVED,US,SYNTHETIC_INTERNAL,Aurelimab Demo Product Information,data/documents/prescribing_information/aurelimab_demo_pi.md,true
DOC-AUR-MIR-EFF,Aurelimab Approved Medical Response - Efficacy,APPROVED_MEDICAL_RESPONSE,TA-IMM,PRD-001,IND-001,,2025-08-01,2025-08-01,2027-08-01,APPROVED,US,SYNTHETIC_INTERNAL,Aurelimab Medical Response: Efficacy,data/documents/approved_medical_responses/aurelimab_efficacy_response.md,true
DOC-AUR-FAQ-001,Aurelimab Scientific FAQ,SCIENTIFIC_FAQ,TA-IMM,PRD-001,IND-001,,2025-08-01,2025-08-01,2027-08-01,APPROVED,US,SYNTHETIC_INTERNAL,Aurelimab Scientific FAQ,data/documents/scientific_faqs/aurelimab_scientific_faq.md,true
DOC-MA-SOP-001,Medical Affairs Evidence Response SOP,MEDICAL_AFFAIRS_SOP,TA-IMM,,,,2025-08-01,2025-08-01,2027-08-01,APPROVED,GLOBAL,SYNTHETIC_INTERNAL,Medical Affairs Evidence Response SOP,data/documents/medical_affairs_sops/evidence_response_sop.md,true
DOC-NOVA-220-DRAFT,NOVA-220 Interim Development Note,EVIDENCE_SUMMARY,TA-IMM,PRD-002,IND-003,ST-220,2026-01-15,2026-01-15,,DRAFT,GLOBAL,SYNTHETIC_INTERNAL,NOVA-220 Interim Development Note,data/documents/study_summaries/nova_220_draft.md,true
