endpoint_id,study_id,treatment_arm_id,population_id,endpoint_name,endpoint_type,timepoint,result_value,result_unit,comparator_value,delta_vs_comparator,p_value,confidence_interval,source_document_id
EP-301-001,ST-301,ARM-301-A,POP-301-ALL,Clinical Response,PRIMARY,Week 12,64.0,PERCENT,38.0,26.0,0.0001,"21.0 to 31.0",DOC-ST301-CSR
EP-301-002,ST-301,ARM-301-A,POP-301-NAIVE,Clinical Response,SUBGROUP,Week 12,72.0,PERCENT,42.0,30.0,0.0001,"23.0 to 37.0",DOC-ST301-CSR
EP-301-003,ST-301,ARM-301-A,POP-301-EXP,Clinical Response,SUBGROUP,Week 12,56.0,PERCENT,34.0,22.0,0.001,"15.0 to 29.0",DOC-ST301-CSR
EP-301-004,ST-301,ARM-301-A,POP-301-ALL,Clinical Remission,SECONDARY,Week 12,31.0,PERCENT,15.0,16.0,0.0005,"10.0 to 22.0",DOC-ST301-PUB
EP-302-001,ST-302,ARM-302-A,POP-302-ALL,Clinical Response,PRIMARY,Week 12,68.0,PERCENT,41.0,27.0,0.0001,"22.0 to 32.0",DOC-ST302-CSR
EP-302-002,ST-302,ARM-302-A,POP-302-BIOPOS,Clinical Response,SUBGROUP,Week 12,78.0,PERCENT,43.0,35.0,0.0001,"27.0 to 43.0",DOC-ST302-CSR
EP-302-003,ST-302,ARM-302-A,POP-302-BIONEG,Clinical Response,SUBGROUP,Week 12,62.0,PERCENT,40.0,22.0,0.0005,"16.0 to 28.0",DOC-ST302-CSR
EP-302-004,ST-302,ARM-302-A,POP-302-ALL,Clinical Remission,SECONDARY,Week 12,35.0,PERCENT,18.0,17.0,0.0003,"11.0 to 23.0",DOC-ST302-PUB
EP-303-001,ST-303,ARM-303-A,POP-303-ALL,Clinical Remission,PRIMARY,Week 52,49.0,PERCENT,25.0,24.0,0.0001,"18.0 to 30.0",DOC-ST303-CSR
EP-303-002,ST-303,ARM-303-A,POP-303-NAIVE,Clinical Remission,SUBGROUP,Week 52,56.0,PERCENT,27.0,29.0,0.0001,"20.0 to 38.0",DOC-ST303-CSR
EP-303-003,ST-303,ARM-303-A,POP-303-EXP,Clinical Remission,SUBGROUP,Week 52,43.0,PERCENT,23.0,20.0,0.001,"12.0 to 28.0",DOC-ST303-CSR
EP-303-004,ST-303,ARM-303-A,POP-303-ALL,Endoscopic Improvement,SECONDARY,Week 52,52.0,PERCENT,29.0,23.0,0.0002,"17.0 to 29.0",DOC-ST303-PUB
EP-210-001,ST-210,ARM-210-H,POP-210-ALL,Composite Response,PRIMARY,Week 16,58.0,PERCENT,24.0,34.0,0.0001,"24.0 to 44.0",DOC-ST210-CSR
EP-210-002,ST-210,ARM-210-L,POP-210-ALL,Composite Response,PRIMARY,Week 16,44.0,PERCENT,24.0,20.0,0.006,"10.0 to 30.0",DOC-ST210-CSR
